screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
xRitorikal,3253663586,26,77,30,13,1452288124,1435066571,1,
tatiguns,4648126461,24,182,184,16,1452402560,1451433829,1,
VlmmGuitraining,4675386372,26,130,4,3,1451783158,1451436990,1,
ArielGuns1,101113789,467,1167,2139,15541,1452483204,1262399215,1,
DawnsKiss,36972878,2570,2895,33046,25920,1452466871,1241193439,1,
DuyoRad,4564695860,211,410,24,84,1452439075,1450172579,1,
77Steviec,3999033021,331,430,4184,1894,1452479593,1445311047,1,
lrmckinnis40,3406063521,1184,4226,685,570,1452227788,1438888218,1,
johnnyste1900,1712400704,52,578,1279,2781,1452473958,1377859313,1,
cooltars,4675117814,295,1151,1,39,1452379795,1451431680,1,
irvintalladega,450868868,84,607,12192,650,1451271012,1325272607,1,
RonKingX,2743205438,4,19,2,4,1446006991,1408399688,1,
3MCs1DJ,107260603,8,135,6,6,1440964479,1264121528,1,
AdHunt2,4078510768,17,42,1,2,1450543088,1446246297,1,
ZzEddie,3828038609,107,426,3,2,1443743127,1443652504,1,
anthonylourdes1,3306317494,23,104,37,80,1452394081,1433214174,1,
camemusic,2836440340,90,386,16,164,1452365910,1413659516,1,
cycler06,4648051943,6,54,0,0,NULL,1451432813,2,
AlZombie1929,4384570307,476,916,49,551,1452476560,1449331486,1,
maryyko_,4671889669,56,274,0,0,NULL,1451376608,2,
MrXriddle2008,4619271981,28,102,23,7,1452155762,1451202349,1,
kwb_80,2900543807,68,264,177,0,NULL,1417439665,2,
veronic88873894,3804022215,304,572,626,1842,1452335970,1443446687,1,
Bernardoagro3,109070811,1142,1820,2475,1838,1452424111,1264629778,1,
rhfrancisco,426474974,19,59,44,58,1444163836,1322815390,1,
therockshop7201,3375574791,46,187,126,20,1452082209,1436875332,1,
pablosicili,3291931347,20,101,0,18,1451844077,1432157857,1,
Brian_Fredette,3025686965,33,127,73,0,NULL,1423434603,2,
MikeF003,958300298,109,509,74,0,NULL,1353353822,2,
13parstac,891344330,34,347,1,0,NULL,1350664726,2,
The_Gaultfather,2320301343,56,74,62,2172,1452455094,1391360041,1,
dbeard1965,872077754,5,24,1,0,NULL,1349885673,2,
wadpl,1321093946,83,490,7,10,1451856070,1364847539,1,
wadpl,1321093946,83,490,7,10,1451856070,1364847539,1,
GavanKuntox,954210506,22,140,23,15,1443680122,1353181742,1,
JocelynGaudreau,4582126600,9,64,0,1,1451336888,1450903174,1,
MotoPortAlmere,96315521,439,396,56,1009,1452459151,1260612301,1,
AdamStandridge,247686451,6,18,4,0,NULL,1296901249,2,
Londee33,33978681,135,285,1161,1214,1452474593,1240336122,1,
Rommelramsesdam,1453331113,741,2735,21,20,1452311343,1369373855,1,
ChrisMasTweets,341555184,473,1683,555,2557,1451602242,1311520853,1,
CLAPpicks,450492478,11,43,14,8,1451830483,1325236337,1,
notanymoreyou,4511375385,43,168,242,166,1452476567,1450336983,1,
CFHPTX,4530567134,459,2369,14,54,1452278241,1449856384,1,
rmter3,4647465328,5,43,0,0,NULL,1451427583,2,
JKolbIII,1465361005,209,705,488,0,NULL,1369764972,2,
Mathieu_Mermoud,576398590,21,147,2,37,1447626343,1336669283,1,
DylanTomas5,1654397023,67,479,594,115,1452058615,1375928832,1,
VisantRoue,21873924,351,242,26,298,1452372777,1235574458,1,
Oasisupervision,4646852843,28,46,9,0,NULL,1451423191,2,
Eddielog,202450517,280,1974,235,4412,1452355800,1287022120,1,
BeAsT_ChEeKs1,4638975548,136,332,62,63,1452396013,1450899184,1,
Geoffre32975055,2527115137,7,47,3,2,1450159978,1401185349,1,
MZapp13,4646612499,76,216,0,1,1452022747,1451421696,1,
KonradKwiatkows,2387515663,27,119,1,1,1451376129,1394731562,1,
MelissaLali,539136499,798,1471,444,724,1452368963,1332948519,1,
mwf2121,1592558053,7,38,0,0,NULL,1373776544,2,
adler_tom_anne,2665617301,205,213,4624,209,1452468093,1405941173,1,
torreskevinhn12,2266791552,70,408,4,0,NULL,1388287536,2,
coreysanchez13,30082037,42,357,121,0,NULL,1239315410,2,
AvengingBastard,3327818379,9,20,55,0,NULL,1434399362,2,
FredericPhilips,434041312,17,108,39,28,1452463043,1323599132,1,
tman1960,94819004,14,45,0,2,1414206913,1260029595,1,
mitkocio,136570571,2,24,5,41,1447186586,1272099129,1,
burymehenry,3863032029,37,92,62,116,1452452749,1443974822,1,
2702Kabir,3192000913,502,4653,225,97,1452447339,1431339633,1,
factoidmaker,4668549494,61,337,2,12,1452005615,1451323260,1,
basia_iwanska,4646240122,50,153,95,22,1452464984,1451417756,1,
simonprice01,391607646,127,593,10,339,1451731308,1318711887,1,
Buckygirlbecky,1711403869,32,572,316,81,1451419110,1377822985,1,
dallas_jfp,4616242514,225,692,48,66,1452475676,1450650858,1,
aytknetgrul41,4646111175,14,41,1,21,1452353991,1451417666,1,
elleevansmusic,3103654429,290,1123,243,445,1452221036,1427049754,1,
jeron_gonzales,3165576288,119,265,354,402,1452051099,1429543340,1,
Mauflo23,2929092450,156,1060,1129,482,1452404579,1418523240,1,
GregWestw00d,4646036877,40,290,5,2,1451418099,1451417079,1,
WhatsAndyEating,1548061171,15,48,21,494,1452272810,1372248305,1,
tnaughts,759337038,0,27,9,0,NULL,1345036447,2,
anggawidyanto,63446570,196,385,72,13696,1452437650,1249556343,1,
TonyMelo20,3958239557,62,137,15,1,1451995984,1444848243,1,
djnightwolf5244,3304252057,150,423,9,18,1452296176,1438514903,1,
SaciAhmed66,2707380072,42,173,249,76,1452466726,1407184538,1,
ZangetsuFangxd,4638176115,21,53,112,55,1452444353,1451353964,1,
tomas_727,4189114528,0,17,12,2,1448076541,1447534869,1,
alperbayr1,429241954,1209,2054,371,36720,1452454187,1323110868,1,
matcast39,4645460356,154,295,41,2,1451512628,1451411509,1,
SBurgisser,2164526463,132,2284,13,0,NULL,1383381187,2,
angusyoung696,4643379328,4,9,79,86,1452448171,1451394823,1,
Eder_Tonel,145572110,1098,1561,7255,3910,1452485262,1274259378,1,
Man_frenjensen,513784265,70,475,17487,2278,1452484609,1330822514,1,
brad_859,2770767927,38,448,118,41,1452447408,1410755749,1,
TheWhiteTiger51,123265674,106,835,0,472,1450398907,1268664032,1,
NickyWigant,4645232187,11,34,2,0,NULL,1451410629,2,
deivinsonalexan,1962857886,194,1558,13,21,1451863575,1381851534,1,
jaffettesean23,478209645,59,748,1,22,1445976605,1327886867,1,
Je_GGG,431657364,223,838,2080,1917,1452430415,1323356055,1,
JeffLebowski98,1390622065,104,302,431,268,1452449442,1367274733,1,
babedoll_75,44760670,84,707,2831,0,NULL,1244158232,2,
gusfermin,221368061,54,189,17,23,1450280523,1291124300,1,
emogirl96forev,2993594885,43,104,157,43,1451879936,1421988131,1,
Page_215,276128036,98,391,755,8569,1452438369,1301768417,1,
JessRiad,1542311317,65,230,284,501,1452385056,1372039970,1,
9620264256,1309230212,9,30,20,71,1452417355,1364438965,1,
TheDude9800,513228952,184,429,64,1082,1452474982,1330784979,1,
rooks_bill,2957813858,68,927,32,3,1442545480,1420333107,1,
PaintedPast,1367594341,76,322,1960,1279,1452307444,1366479099,1,
InPeterpan,4477747337,162,430,1125,27,1452481389,1450069940,1,
LA_Diaz3,2924837785,52,151,60,37,1451976016,1418168988,1,
JCDamian,21400672,65,596,3,0,NULL,1235140550,2,
12thManHawkFan,298165828,507,1611,36,2782,1452482905,1305319473,1,
EricEricsumner,4632038793,13,91,0,0,NULL,1451304730,2,
BruceGriffin_,537396547,69,655,630,0,NULL,1332782552,2,
JoeSantiniUK,3361979379,91,329,8,16,1451410162,1436169100,1,
SubwayRoy,4640302096,47,103,6,3,1451442836,1451370097,1,
visualkeirebel,3309981940,66,277,172,169,1452482896,1433546120,1,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,46,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,12,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
kushagrabansa14,4722626418,6,41,0,0,NULL,1452157731,2,
pedrotonio98,2400423896,87,643,17,103,1452462810,1395348049,1,
cameron_chalex,4722621384,64,280,7,2,1452163684,1452157642,1,
ardyhart,4722753133,4,19,3,8,1452452164,1452157617,1,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,46,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
kushagrabansa14,4722626418,6,41,0,0,NULL,1452157731,2,
pedrotonio98,2400423896,87,643,17,103,1452462810,1395348049,1,
cameron_chalex,4722621384,64,280,7,2,1452163684,1452157642,1,
ardyhart,4722753133,4,19,3,8,1452452164,1452157617,1,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,46,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
kushagrabansa14,4722626418,6,41,0,0,NULL,1452157731,2,
pedrotonio98,2400423896,87,643,17,103,1452462810,1395348049,1,
cameron_chalex,4722621384,64,280,7,2,1452163684,1452157642,1,
ardyhart,4722753133,4,19,3,8,1452452164,1452157617,1,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,46,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
kushagrabansa14,4722626418,6,41,0,0,NULL,1452157731,2,
pedrotonio98,2400423896,87,643,17,103,1452462810,1395348049,1,
cameron_chalex,4722621384,64,280,7,2,1452163684,1452157642,1,
ardyhart,4722753133,4,19,3,8,1452452164,1452157617,1,
dinhquan298,4697976085,5,41,0,0,NULL,1451760869,2,
yashikamittal63,3065020176,13,154,86,9,1426768421,1425655168,1,
werom19502,4733153482,13,69,0,0,NULL,1452157736,2,
26VqWZkYsrYm4yI,4245527474,248,389,90,203,1452434705,1447590624,1,
cai032887,4722702920,11,77,2,1,1452169953,1452157589,1,
toumudemutou,4722550092,7,15,0,0,NULL,1452156385,2,
amad_mister,4722476298,31,153,300,7,1452401797,1452155091,1,
Vega67502728,4722752059,30,72,41,45,1452460735,1452157595,1,
Queen_neerd_25,4732988901,9,10,8,6,1452158004,1452157301,1,
imnoexecutive,3570796634,45,214,4,19,1452390128,1442315644,1,
MutemiC,4403654596,3,35,1,0,NULL,1449482164,2,
JHaspraj,4733080697,8,26,0,0,NULL,1452157640,2,
BBiokoro,4733033841,19,127,0,0,NULL,1452157699,2,
black_lover06,4733020275,3,22,0,0,NULL,1452157571,2,
jlawler8630,4733142976,21,135,0,2,1452197723,1452157646,1,
SundayOnyenso,4733132620,17,140,0,0,NULL,1452157557,2,
Ranvija31330295,2320615680,26,116,43,11,1452480822,1391165846,1,
buddyb3776,4723105161,46,343,135,135,1452439190,1452070705,1,
fikreterdem9,4489862722,5,30,5,8,1452031015,1450165460,1,
putriikhsaniaw1,4722614436,27,218,2,0,NULL,1452157512,2,
kapilmishra_123,4722604686,9,168,0,0,NULL,1452157454,2,
pbiro_peter,4733127082,11,97,0,1,1452158375,1452157505,1,
yagamilight35,4733144182,11,40,0,0,NULL,1452157658,2,
LOVERSNandoss,1642076802,1767,1764,3381,13734,1452421305,1375507122,1,
PhibonacciClo,4722751453,4,35,0,0,NULL,1452157585,2,
Lindaklopper,377170560,87,422,2673,11644,1452483366,1316578276,1,
ZENDYAAZA_,4722599202,4,12,14,2,1452346879,1452157303,1,
KaranMohil,89985594,17,116,1,14,1300478253,1258221409,1,
keanglong_ing,4689682664,19,218,2,0,NULL,1451656964,2,
robbie80477,4722554286,4,43,0,0,NULL,1452156569,2,
micahelcaraci28,4733070857,2,59,7,1,1452158398,1452157549,1,
FiorellaCardoz9,4711111395,19,74,0,0,NULL,1451966113,2,
anhuy13,4722689426,9,49,0,1,1452158661,1452157360,1,
Jordanc55254995,4733032821,21,119,6,8,1452189231,1452157691,1,
RohitTamang333,3144660674,15,103,19,1,1449392908,1428491885,1,
andi_morereward,4722703934,27,130,0,0,NULL,1452157610,2,
xFuX6CfGtAy1JTM,4722758839,4,39,0,0,NULL,1452157707,2,
kDcR1bcskAoWDjE,4717214178,0,21,0,0,NULL,1452063146,2,
agRDZmlzndxZ2WZ,4732849977,6,105,0,1,1452157817,1452156107,1,
RAJNEESHAWASTH7,4733110276,11,162,0,0,NULL,1452157350,2,
panda_lover_02,4722743113,7,24,0,0,NULL,1452157437,2,
bilalksa43,4733133736,51,147,8,3,1452438967,1452157560,1,
mark_puckett,4733082641,14,83,2,5,1452431681,1452157684,1,
kkxxrr,4722757813,20,61,1,17,1452407377,1452157693,1,
cd58ec1141164ea,4722700340,4,17,0,0,NULL,1452157551,2,
OlveraBrendita,2613033780,50,153,385,20,1452392926,1404887344,1,
onepokeover,4572901821,39,111,1060,442,1452462266,1450830014,1,
JSeebold,310952223,3,10,20,1,1405891182,1307206188,1,
juliomencruz,1025452844,61,222,28,329,1452283536,1356055904,1,
GianniLOfficial,3044618110,1961,927,234,643,1452334515,1424257361,1,
orentom2,43110897,17,41,23,214,1451077881,1243518138,1,
Botskar,59553516,14,533,6,288,1451043191,1248375233,1,
travis_theisen,4669228410,17,129,0,0,NULL,1451334264,2,
BraBiak2,4634091922,221,824,393,426,1452201629,1451320252,1,
S67W,852547537,72,421,298,877,1452154146,1348910033,1,
dynbreedusa,4500483558,166,435,81,153,1452465490,1449609440,1,
nCopernicus7,4669038206,78,421,169,17,1451978620,1451330331,1,
lyss_martin,2320135040,168,429,137,282,1452457604,1391137774,1,
SamuelT62645253,4668583278,41,99,29,53,1452479169,1451324898,1,
SpaceFreley,4290312106,8,52,2,0,NULL,1448580500,2,
mballeng91,1062330366,65,193,1150,458,1452309230,1357368195,1,
robins2,27573489,14,37,5,224,1451333514,1238383133,1,
nadiaesperanza8,4611662668,107,495,241,38,1452390925,1451140303,1,
SonOfTheWolves,2411798486,8699,8823,407,295,1452485736,1395796232,1,
ErikaSantoFC,2345596373,421,594,2325,10582,1452473588,1392498398,1,
Ajb93_,323029802,592,882,4860,21769,1452474688,1308888498,1,
YuriFerreira23,3436130697,15,156,2,4,1440460793,1440292089,1,
oscarad_,1216473108,65,429,38,50,1451417810,1361737826,1,
ALoka41354,2470036668,836,2089,4087,3437,1452368894,1398815843,1,
freshmusicabz,4403826981,2868,194,4,28,1452157644,1449484478,1,
nareshkanxa,3155214958,49,169,61,22,1452344649,1428727692,1,
goryjosef,2730036109,57,390,0,11,1426521007,1407953495,1,
jasonhook03_fan,4634835201,85,222,848,10,1452284707,1451327157,1,
peccavanagh,4010986942,16,98,1,23,1452415834,1445447840,1,
RishStaMaria,3407193563,181,250,427,377,1452450884,1438952999,1,
wujektom,347677629,65,524,28,394,1451924372,1312348644,1,
Obsequey_Death_,4438136055,239,600,149,279,1452468113,1449756435,1,
jokavloser,1238341261,13,152,0,10,1446951877,1362299728,1,
airgraphix,139754666,84,327,25,134,1452379600,1272901284,1,
khorlins_81981,4634157233,27,55,1,152,1451602795,1451321306,1,
Leemen4,276707583,38,170,420,218,1452339700,1301870723,1,
Skylarkk71,991858345,66,157,116,45,1438806594,1354744164,1,
Wolftalez,300613238,17,85,2,1,1434227118,1305684317,1,
ChantalYork09,729848880,142,411,189,228,1452230792,1343790766,1,
thelastwin2,4217724028,89,706,21,94,1452286843,1447847642,1,
JaydonHunt,4628494469,223,389,43,47,1451419742,1451275894,1,
believer1024,14207532,198,1114,816,1713,1451543527,1206367597,1,
RobDrum1,350241721,71,391,13,239,1451676104,1312721696,1,
Shartio,220900200,13,58,24,56,1452304276,1291005819,1,
alex_kissalive,4632667221,21,309,7,0,NULL,1451309772,2,
DropDanni,270408212,48,224,116,0,NULL,1300807497,2,
hamdenny86,3224303017,116,317,56,153,1449152044,1432387477,1,
Gabriel_VitorT,980311573,127,328,16,28,1451365947,1354276103,1,
rockbandpot,4624523675,47,153,0,7,1451493939,1451244017,1,
Gabriel_VitorT,980311573,127,328,16,28,1451365947,1354276103,1,
rockbandpot,4624523675,47,153,0,7,1451493939,1451244017,1,
rsal27,47543618,178,431,37671,0,NULL,1245127025,2,
ikaikastine,106906346,54,97,57,358,1440197534,1264037785,1,
leobadinella,15483744,1483,4844,422,377,1452456029,1216402513,1,
MusicmanMC1,4332014841,9,60,32,8,1452220287,1448912271,1,
bird84_bird,1534869794,19,404,0,0,NULL,1371758635,2,
RobynEBarker,227776448,102,562,51,41,1452359335,1292615163,1,
Squier666,528774936,94,222,36,24,1452282895,1332098703,1,
ppaddy40,4633079013,30,190,0,0,NULL,1451313079,2,
blackcatz34,4018772489,2,15,3,2,1451313201,1445539506,1,
tipton_glen,4037349432,5,18,0,0,NULL,1445964850,2,
Phili_Wernerson,4633016920,213,880,294,70,1452423862,1451311633,1,
LeonThaOne,504002265,188,249,985,7141,1452448935,1330231538,1,
BobSaca07423427,4430726005,20,242,219,67,1452289976,1449055661,1,
musicafacts,4598614935,317,703,35,350,1452465276,1451036485,1,
Litengigi,4585857333,17,29,9,351,1452400002,1450934091,1,
itachunchilla,4627790445,7,23,33,1,1451398467,1451270656,1,
PhillipRoark1,4454811280,45,420,3,16,1452459555,1449887603,1,
bob_pleau,4626999881,35,243,18,6,1451272593,1451263877,1,
abarone19671,3326600351,3,16,0,0,NULL,1434360961,2,
jon_fer_1994,4632524357,13,70,23,2,1452266710,1451308201,1,
natydj091,4485452415,1511,5000,5261,2219,1452470196,1450131402,1,
blakekerwood,4627200195,21,96,0,3,1451400103,1451265905,1,
Adam_Saich,15753286,3,657,148,0,NULL,1218047767,2,
graywolf37,18533156,500,656,801,3899,1452466281,1230836205,1,
JasonXin1,598444073,381,2004,5,0,NULL,1338739581,2,
Gryffindor_Bae,374814565,194,390,1547,3919,1452112722,1316219781,1,
SCrowSShow,3001343835,3068,3370,147,201,1452433078,1422365945,1,
MuserSkyfire,3936189193,355,1155,114,140,1452266571,1445173591,1,
Oshkerrr,2275334942,180,575,624,691,1452284309,1388797767,1,
joshdunn69,596803045,215,312,68,205,1452473658,1338584558,1,
mamiaroweb,4505115262,47,216,8,858,1452475706,1450286432,1,
borgarthorarins,90153867,29,64,1,52,1436916079,1258288865,1,
bongano_,483025375,79,147,1139,2387,1452410007,1328368983,1,
OnlyChiara,238529721,32,118,30,287,1452453778,1295090875,1,
naokit083,2840137501,8549,8441,50216,51239,1452466759,1412425475,1,
TrevorLatter,4630466655,28,100,4,19,1452411130,1451292170,1,
LeonDizzy,1645839008,46,434,36,2777,1452263432,1375640684,1,
SekretSadness,4666509432,2,1074,3,0,NULL,1451295765,2,
Vrikhen,4565158336,17,88,5,3,1452278188,1450766770,1,
EugenioLigato,3946104976,39,104,6,8,1452244125,1444736003,1,
CRupido,2807168600,150,270,743,1375,1452389336,1410602155,1,
Deanbanksmm,2314279338,44,84,17,45,1449317859,1390855472,1,
nicovanesa1,810285144,29,286,6,21,1452130913,1347083812,1,
ShellShocket,4666239673,22,126,4,1,1451290718,1451290041,1,
Saitengreifer,4630315948,12,108,10,32,1452409515,1451290013,1,
blackzone8484,4606286834,11,110,0,0,NULL,1450558587,2,
ariel_stefanus,307701365,101,803,13,21,1437022250,1306728434,1,
ariel_stefanus,307701365,101,803,13,21,1437022250,1306728434,1,
stivinscott,4538323095,50,144,58,0,NULL,1450552395,2,
TeddyDavis4,780631651,349,1330,357,505,1452474751,1345912342,1,
AlejandroGU12,4665288768,9,15,16,2,1451896311,1451278496,1,
la_noise,60131838,148,300,31,5338,1452300162,1248550883,1,
sedcas,4298642232,2,4,0,0,NULL,1448005876,2,
o5alazar,210050616,208,921,31,334,1452407709,1288444794,1,
GorphanageMetal,4594996092,90,265,0,5,1451163393,1450454689,1,
swalsh8771,404261314,196,1363,8028,0,NULL,1320341397,2,
DeeDeelina1,3287283223,696,3093,71,0,NULL,1437546247,2,
niktan5150,1285614068,22,260,2,0,NULL,1363860956,2,
ArArsxcz,3401238982,198,781,33,69,1451792226,1438601936,1,
SammyWithSirens,803468232,621,733,5982,6329,1452407706,1346803397,1,
carlosm87128454,4663429692,76,176,3,2,1451281586,1451251513,1,
MusicaChavez1,4529335295,93,522,8,19,1452039658,1450479861,1,
rileypippi,4643412260,29,142,11,15,1451279773,1450963392,1,
joppu,18504191,208,2083,38,116,1450678365,1230720954,1,
MusicInThe6,3498242352,5325,1706,195,320,1452440171,1441756654,1,
MundoMazambo,703941698,41,353,77,0,NULL,1342652180,2,
gtscottl,4628173276,107,701,14,13,1452087273,1451272774,1,
JoeEvoli,549633065,6,19,1,0,NULL,1334014209,2,
