screen_name,id,followers_count,friends_count,favorites_count,statuses_count,last_status,created_at,
_Hamada_Hiro,4685923946,6,54,2,0,NULL,1451606759,2,
JoseMVidalS,493421254,24,130,11,0,NULL,1329335201,2,
peterachumba,364032319,89,389,34,42,1451909808,1314585885,1,
TabsFacil,4613849662,52,225,9,39,1452459583,1451157842,1,
marc_draven,3245538988,512,794,1187,1281,1452389323,1431296661,1,
TheBathonaut,3036759728,186,1278,166,45,1448400639,1424625254,1,
DagenaisOlivier,565078177,23,49,5,11,1395444880,1335578541,1,
AtomBrenda,1074872970,45,259,44,38,1406344609,1357765207,1,
LupaHyacintha,3000324946,17,90,7,1,1445505281,1422303332,1,
RobieReye,4685709133,18,53,29,15,1452389534,1451602641,1,
KireSetul,3961422676,59,73,115,246,1452216295,1444877115,1,
OscarValenzela,4685643613,6,33,25,4,1451865286,1451601791,1,
spagretta9,375386666,61,435,112,525,1452367700,1316310109,1,
Ciurczak505,2287519759,244,900,64,108,1452403749,1389494660,1,
marcelotoffano,38053250,66,366,214,877,1452378599,1241566503,1,
Lilystrenght15,2994364717,51,285,46,22,1451601127,1422087650,1,
xxjhonxxmarioxx,3367905562,38,313,6,0,NULL,1436458537,2,
TeaqueKaiden,779080596,60,312,176,84,1452322287,1345847226,1,
Kapwalter53,3095109130,2,14,0,1,1434774690,1426701476,1,
OSCARWILDEE,115765184,40,208,6,15,1451422663,1266615358,1,
YuYasshole,4104193409,34,113,25,0,NULL,1446550057,2,
zeed_hasan,4224870742,29,91,1,4,1451338894,1447920306,1,
TheFringeNRJ,4427884348,41,126,35,13,1452258655,1449674252,1,
MikeDoogan4,4684434498,15,59,0,1,1451594759,1451589871,1,
froschj97,810000134,116,79,294,366,1430878277,1347070502,1,
Kengarc745,2202476449,82,52,79,213,1452436834,1384835111,1,
johnremin7,4136011217,456,1356,59,38,1452408012,1446920608,1,
Cassandra_MRdz,4503861208,23,112,40,117,1452454319,1450276505,1,
sdinpuii,1065403915,42,224,367,9,1451818051,1357469730,1,
Guitardom,4419731368,54,114,135,39,1452406726,1449609604,1,
DarrenStanton10,4270807522,7,31,0,0,NULL,1448425762,2,
ComputerizedGui,356388907,3712,2920,220,356,1452292939,1313523770,1,
aShLeY_sHiPe,1382844690,996,3517,36605,24178,1452402552,1367009928,1,
BananaRoxUrSox,1485888294,9,158,133,126,1452161881,1370463054,1,
jphillips294,4658012979,21,40,8,3,1452311992,1451513154,1,
punkrockjohnny,218674778,306,1168,315,1187,1452405571,1290469672,1,
Akasharalo,3044465775,253,369,98,255,1452193612,1424240180,1,
BulldogWX_0610,213950250,619,1402,14815,10296,1452463388,1289366215,1,
ndesmarest,328587310,89,57,580,961,1452335198,1309713288,1,
Dub48851704,1012318866,296,1021,395,104,1452455558,1355535558,1,
melihkrymn,848434687,136,184,326,393,1452345933,1348708361,1,
sethunarayanan,402068467,129,449,63,598,1451587258,1320070236,1,
fabiansteinert,255075358,106,315,12,4,1452259339,1298219663,1,
thesofiass,2355138083,944,258,1140,29,1452135812,1392928092,1,
loloteijeiro,1153743066,69,161,59,214,1452418784,1360150352,1,
RattleGlam,448364205,52,129,2,17,1451828866,1325025887,1,
swirlingpit,276027260,387,512,801,4106,1452446799,1301753149,1,
brent_hooper,1043650754,16,154,2,0,NULL,1356748609,2,
EAOAdeyemo,4646576836,173,675,4,4,1451823294,1451420453,1,
HammondGrooves,1263269550,328,1479,1875,1386,1452433176,1363137740,1,
dutchpottering,4514051655,42,171,17,147,1452442855,1450358129,1,
LambedUpStandup,986028018,941,191,621,405,1450490380,1354515018,1,
DeArmondpickups,4667020673,4,19,1,1,1451580799,1451579996,1,
calavy,159293701,103,434,120,75,1451499259,1277425560,1,
AERLit,2518755866,707,1210,18,969,1452462762,1400881530,1,
4GtrPlayersOnly,4661234295,79,307,0,9,1452363866,1451539035,1,
HardinMusic,4665263127,60,289,57,6,1452461807,1451571588,1,
SufyTravelTr,2962086323,18914,6438,1763,2757,1452117940,1420466303,1,
